observation_date,IRLTLT01PTM156N
1993-07-01,10.67
1993-08-01,10.37
1993-09-01,9.73
1993-10-01,9.27
1993-11-01,9.39
1993-12-01,9.19
1994-01-01,8.93
1994-02-01,8.58
1994-03-01,8.97
1994-04-01,9.26
1994-05-01,9.96
1994-06-01,10.84
1994-07-01,11.33
1994-08-01,11.42
1994-09-01,11.75
1994-10-01,11.59
1994-11-01,11.51
1994-12-01,11.60
1995-01-01,11.79
1995-02-01,11.70
1995-03-01,11.98
1995-04-01,12.17
1995-05-01,11.91
1995-06-01,11.89
1995-07-01,11.69
1995-08-01,11.31
1995-09-01,11.15
1995-10-01,11.22
1995-11-01,10.74
1995-12-01,10.03
1996-01-01,9.44
1996-02-01,9.45
1996-03-01,9.46
1996-04-01,9.06
1996-05-01,8.97
1996-06-01,8.88
1996-07-01,8.71
1996-08-01,8.71
1996-09-01,8.32
1996-10-01,7.59
1996-11-01,7.17
1996-12-01,6.95
1997-01-01,6.72
1997-02-01,6.66
1997-03-01,6.87
1997-04-01,6.80
1997-05-01,6.49
1997-06-01,6.41
1997-07-01,6.26
1997-08-01,6.35
1997-09-01,6.13
1997-10-01,5.98
1997-11-01,5.96
1997-12-01,5.67
1998-01-01,5.40
1998-02-01,5.32
1998-03-01,5.25
1998-04-01,5.17
1998-05-01,5.18
1998-06-01,5.06
1998-07-01,4.95
1998-08-01,4.76
1998-09-01,4.46
1998-10-01,4.43
1998-11-01,4.43
1998-12-01,4.12
1999-01-01,3.90
1999-02-01,4.02
1999-03-01,4.24
1999-04-01,4.13
1999-05-01,4.32
1999-06-01,4.66
1999-07-01,4.99
1999-08-01,5.22
1999-09-01,5.41
1999-10-01,5.62
1999-11-01,5.36
1999-12-01,5.46
2000-01-01,5.81
2000-02-01,5.78
2000-03-01,5.61
2000-04-01,5.52
2000-05-01,5.68
2000-06-01,5.54
2000-07-01,5.61
2000-08-01,5.57
2000-09-01,5.63
2000-10-01,5.58
2000-11-01,5.53
